"catalogNumber","recordNumber","source","surveyname","dateaccuracy","recordedBy","otherCatalogNumbers","reliabdesc","easting","northing","decimalLatitude","decimalLongitude","nsxcode","scientificName","family","vernacularName","eventRemarks","habitat","verbatimLocality","reservename","language","rightsHolder","datasetName","institutionCode","country","countryCode","stateProvince","kingdom","occurrenceStatus","basisOfRecord","verbatimEventDate","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimIdentification","eventDate","establishmentMeans","geodeticDatum","identificationVerificationStatus","organismQuantity","organismQuantityType"
"OPP699712-90","OPP699712-90","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS","D","PICKETT M.I. Marcus","","501-1000m",287202,6114600,-35.08895,138.6657,"A00944","Exocarpos cupressiformis","SANTALACEAE","Native Cherry","","Potential habitat for SBB YTBC Antechinus and Painted Botton-quail.","Scott Ck A13","Scott Creek (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","12/12/11",-35.08895,138.6657,"decimal degrees","Exocarpos cupressiformis","2011-12-12","native","EPSG:20254","verified",,
"RVPU62752-79038","RVPU62752-79038","RV","","D","STOREY J.D. James | BATEMAN T.V. Teresa","","501-1000m",296875,6188283,-34.42698746,138.7895124,"A10596","Lomandra sp.","LILIACEAE","Mat-rush","Collected using the DEWNR Roadside Vegetation Survey Methodology","Native grassland comprising mostly native species","Green RD 3 km ESE of Morn Hill","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","13/3/02",-34.42698746,138.7895124,"decimal degrees","Lomandra sp.","2002-03-13","native","EPSG:20254","verification required",,
"OPP620103-130","OPP620103-130","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS","D","PICKETT M.I. Marcus","","501-1000m",291500,6136300,-34.89433,138.71825,"G02131","Pimelea linifolia ssp. linifolia","THYMELAEACEAE","Slender Riceflower","","","Morialta (Chapman Track) A15","Morialta (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","22/3/13",-34.89433,138.71825,"decimal degrees","Pimelea linifolia ssp. linifolia","2013-03-22","native","EPSG:20254","verified",,
"SUP10532-16","SUP10532-16","SU","FLINDERS MANAGEMENT REVIEW","D","GOULD P. Paul | PITTS B. Brenda","","",325022,6572504,-30.96801,139.16788,"A02092","Malvastrum americanum var. americanum","MALVACEAE","Malvastrum","","","","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","10/6/87",-30.96801,139.16788,"decimal degrees","Malvastrum americanum var. americanum","1987-06-10","introduced","EPSG:20254","verified",,
"RVPO46519-199454","RVPO46519-199454","RV","","D","CLARK P.D. Peter","","101-250m",270646,6259655,-33.77842013,138.523118,"M20166","Salvia verbenaca var.","LABIATAE","Wild Sage","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland","Lookout (10) RD 0.2 km NNE of The Lookout (summit)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","9/11/01",-33.77842013,138.523118,"decimal degrees","Salvia verbenaca var.","2001-11-09","introduced","EPSG:20254","verification required",,
"SUP17322-59004","SUP17322-59004","SU","VENUS BAY CP CR AND ENVIRONS","D","HUEBNER L.W. Leila","","5-50m",468958,6331118,-33.15827,134.66711,"C05237","Acacia cupularis","LEGUMINOSAE","Cup Wattle","","","Travel 1.6km from Port Kenny toward Streaky Bay and turn left onto track where finger board sign points to rubbish dump (north side of highway). Travel 150m from bitumen highway - site 7 being on right hand side - 35m off track (which is the eastern boundary of the Venus Bay Conservation Reserve).","Venus Bay (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","8/9/99",-33.15827,134.66711,"decimal degrees","Acacia cupularis","1999-09-08","native","EPSG:20253","verified",,
"RVPO27001-118725","RVPO27001-118725","RV","","D","PLAYFAIR R.M. Roger","","101-250m",280344,6111062,-35.11935632,138.5895859,"K02249","Eucalyptus microcarpa","MYRTACEAE","Grey Box","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus microcarpa Woodland","Piggott Range RD 2.7 km ENE of Onkaparinga Hills (suburb centre)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","11/2/00",-35.11935632,138.5895859,"decimal degrees","Eucalyptus microcarpa","2000-02-11","native","EPSG:20254","verification required",,
"RVPE35649-3","RVPE35649-3","RV","","D","TELFER W.R. Wendy","","501-1000m",253060,6326183,-33.17504424,138.3516949,"A04208","Bursaria spinosa ssp. spinosa","PITTOSPORACEAE","Sweet Bursaria","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland and Herbland","Gladstone - Appila RD 4.7 km WSW of Caltowie West","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","3/11/00",-33.17504424,138.3516949,"decimal degrees","Bursaria spinosa ssp. spinosa","2000-11-03","native","EPSG:20254","verification required",,
"RVPU77590-113929","RVPU77590-113929","RV","","D","SUTHERLAND R.L. Robyn | TELFER S. Sarah","","251-500m",453189,6209767,-34.25216349,140.4916012,"E10950","Austrostipa sp.","GRAMINEAE","Spear-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eremophila longifolia Shrubland","Barmera - Monash RD 1.5 km WNW of Hunt Hill (summit)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","8/2/04",-34.25216349,140.4916012,"decimal degrees","Austrostipa sp.","2004-02-08","native","EPSG:20254","verification required",,
"SUP8408-11","SUP8408-11","SU","SOUTH OLARY PLAINS","D","MALCOLM L.A. Louise | KRAEHENBUEHL D.N. Darrell","","5-50m",422772,6302378,-33.41517,140.16939,"Z15183","Tetragonia eremaea/tetragonoides","AIZOACEAE","Native Spinach","","","1.4 km NE from Rsl Dam.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","6/8/91",-33.41517,140.16939,"decimal degrees","Tetragonia eremaea/tetragonoides","1991-08-06","native","EPSG:20254","verified",,
"OPP413299-31","OPP413299-31","OP","MOKOTA CP VEGETATION MONITORING","D","ROBERTSON M.A. Meg | KERIN B.L. Brooke","","5-50m",309275,6285293,-33.55499,138.94554,"U32410","Rytidosperma sp.","GRAMINEAE","Wallaby-grass","Present in 4 subquadrats","","Mokota Conservation Park western slopes","Mokota (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","2/11/11",-33.55499,138.94554,"decimal degrees","Rytidosperma sp.","2011-11-02","native","EPSG:20254","verified",,
"SUP8862-10","SUP8862-10","SU","SOUTH EAST","D","CANTY P.D. Peter | HEARD L.M.B. Lee","","5-50m",440443,5920245,-36.86185,140.33185,"C02413","Astroloma humifusum","EPACRIDACEAE","Cranberry Heath","","","400-500m from the ...in a NNE direction from LUC0302. Note: this is a limestone ridge not a swamp.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","12/9/91",-36.86185,140.33185,"decimal degrees","Astroloma humifusum","1991-09-12","native","EPSG:20254","verified",,
"OPP807088-5","OPP807088-5","OP","SCIENTIFIC PERMIT DATA - APPROVED","D","BULL Z. Zeta","","251-500m",327487,6111257,-35.12678,139.10667,"K03913","Avena barbata","GRAMINEAE","Bearded Oat","project did not proceed","","Thomas Crescent Monarto; Project = Monarto","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","21/9/17",-35.12678,139.10667,"decimal degrees","Avena barbata","2017-09-21","introduced","EPSG:20254","verified",,
"RVPO10049-36528","RVPO10049-36528","RV","","D","PLAYFAIR R.M. Roger | PARRY K. Karen","","1-10km",248033,6453994,-32.02217623,138.3322066,"M00666","Asphodelus fistulosus","LILIACEAE","Onion Weed","Collected using the DEWNR Roadside Vegetation Survey Methodology","Grassland / Herbland dominated by alien species","Hawker - Stirling North RD 1.1 km ESE of Black Jack Hill (summit)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","12/11/98",-32.02217623,138.3322066,"decimal degrees","Asphodelus fistulosus","1998-11-12","introduced","EPSG:20254","verification required",,
"RVPO8315-28375","RVPO8315-28375","RV","","D","CLARK P.D. Peter | BEVAN K. Kirsty","","501-1000m",609829,6208442,-34.25936663,136.1929043,"C10393","Eucalyptus sp.","MYRTACEAE","","Collected using the DEWNR Roadside Vegetation Survey Methodology","Plantation ( Exotic sp. +/- Non-endemic native sp. +/- Endemic native sp.)","lincoln HWY 3.5 km ENE of Mount Watt (summit)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","6/11/98",-34.25936663,136.1929043,"decimal degrees","Eucalyptus sp.","1998-11-06","native","EPSG:20253","verification required",,
"SUP31475-281650-AD226706","SUP31475-281650-AD226706","SU","MARQUALPIE LAND SYSTEM","D","NEAGLE N.R. Nick | THOMAS M Merrine","AD226706","5-50m",483208,7027198,-26.87681,140.83094,"E03646","Senna artemisioides ssp. zygophylla","LEGUMINOSAE","Twin-leaf Desert Senna","","","Drive N from Marqualpie Bore to boundary with Cordillo Downs then turn E and drive 2.5 km.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","20/9/08",-26.87681,140.83094,"decimal degrees","Senna artemisioides ssp. zygophylla","2008-09-20","native","EPSG:20254","verified",,
"OPP847256-21","OPP847256-21","OP","SA FNS MAMMAL CLUB - GENERAL SVY","D","HOWIE J. June","","5-50m",649318,6342994,-33.04134,136.59908,"E03054","Cratystylis conocephala","COMPOSITAE","Bluebush Daisy","","Deep red sand on top of a low dune. Spindly mallee overstorey with dominant Triodia understorey.","Lake Gilles Conservation Park inside the western boundary.","Lake Gilles (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","25/3/05",-33.04134,136.59908,"decimal degrees","Cratystylis conocephala","2005-03-25","native","EPSG:20253","verified",,
"RVPO69687-305759","RVPO69687-305759","RV","","D","MASON S.J. Sam | OBST C.S. Chris","","101-250m",487608,6154562,-34.75098931,140.8646075,"Y02600","Marrubium vulgare","LABIATAE","Horehound","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus gracilis/ E. brachycalyx Mallee +/- E. phenax +/- E. oleosa +/- E. cyanophylla","Suez canal RD 5.3 km SSE of Meribah","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","25/9/03",-34.75098931,140.8646075,"decimal degrees","Marrubium vulgare","2003-09-25","introduced","EPSG:20254","verification required",,
"OPP681556-1","OPP681556-1","OP","YORKE DISTRICT AERIAL BOXTHORN CONTROL","D","BARR M. Max | ANDERSON T. Tim","","5-50m",716201,6176508,-34.53043,137.35566,"M02662","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","","Wardang Island; Boxthorn control site - aerial application of Graslan herbicide","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","8/4/15",-34.53043,137.35566,"decimal degrees","Lycium ferocissimum","2015-04-08","introduced","EPSG:20253","verified",1,"individuals"
"RVPO38221-166775","RVPO38221-166775","RV","","D","PLAYFAIR R.M. Roger | OBST C.S. Chris","","251-500m",478375,6073522,-35.48159212,140.7616173,"Q02240","Eucalyptus incrassata","MYRTACEAE","Ridge-fruited Mallee","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus incrassata Open Low Mallee","Pinaroo - Bordertown RD 19.8 km NNE of Ngarkat","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","6/12/00",-35.48159212,140.7616173,"decimal degrees","Eucalyptus incrassata","2000-12-06","native","EPSG:20254","verification required",,
"RVPO21900-93344","RVPO21900-93344","RV","","D","PLAYFAIR R.M. Roger | OBST C.S. Chris","","251-500m",319022,6174060,-34.55929688,139.0273778,"A20284","Plantago lanceolata var.","PLANTAGINACEAE","Ribwort","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus camaldulensis ? E. leucoxylon Woodland with grassy or sclerophyllous understorey","Long Gully RD 3.2 km SSE of Mengler Hill (summit)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","16/11/99",-34.55929688,139.0273778,"decimal degrees","Plantago lanceolata var.","1999-11-16","introduced","EPSG:20254","verification required",,
"OPP671657-1","OPP671657-1","OP","YORKE DISTRICT AERIAL BOXTHORN CONTROL","D","BARR M. Max | ANDERSON T. Tim","","5-50m",681853,6100257,-35.22426,136.9982,"M02662","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","","Marion Bay; Boxthorn control site - aerial application of Graslan herbicide","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","6/5/15",-35.22426,136.9982,"decimal degrees","Lycium ferocissimum","2015-05-06","introduced","EPSG:20253","verified",1,"individuals"
"SUP10395-21","SUP10395-21","SU","FLINDERS MANAGEMENT REVIEW","D","BELLETTE K.J. Kathryn | GOULD P. Paul","","",307223,6630579,-30.44151,138.99248,"K01237","Sclerolaena convexula","CHENOPODIACEAE","Tall Bindyi","","","","Vulkathunha-Gammon Ranges (NP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","30/5/88",-30.44151,138.99248,"decimal degrees","Sclerolaena convexula","1988-05-30","native","EPSG:20254","verified",,
"SUP16056-630","SUP16056-630","SU","RARE RODENTS PROJECT","D","OWENS H.M. Helen","","5-50m",401564,6747291,-29.3998,139.98546,"Z00975","Duma coccoloboides","POLYGONACEAE","Sandhill Lignum","","","Montecollina Bore. AMG updated 5/4/05.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","17/10/97",-29.3998,139.98546,"decimal degrees","Duma coccoloboides","1997-10-17","native","EPSG:20254","verified",,
"RVPO66414-289143","RVPO66414-289143","RV","","D","SMYTH J. John | O'CONNOR H. Hazel","","",,,,,"G00311","Lagurus ovatus","GRAMINEAE","Hare's Tail Grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Herbland dominated by alien species","Hull RD","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","25/9/02",,,"decimal degrees","Lagurus ovatus","2002-09-25","introduced","","verification required",,
"OPP517256-15","OPP517256-15","OP","MURRAY WETL'D ONGOING SAMDB NRMB","D","NICKOLAI C.A. Callie | TAYLOR P.A. Pip","","5-50m",445391,6200009,-34.33978,140.40629,"A02552","Heliotropium curassavicum","BORAGINACEAE","Smooth Heliotrope","LIFE_STAGE=F","","Location is Spectacle Lakes River Murray","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","14/1/08",-34.33978,140.40629,"decimal degrees","Heliotropium curassavicum","2008-01-14","introduced","EPSG:20254","verified",,
"OPP605596-1","OPP605596-1","OP","DEFEATING THE WEED MENACE-ONGROUND WORKS","D","NOT ENTERED - SEE ORIGINAL DATA  -","","5-50m",384513,5981541,-36.30422,139.7137,"M02662","Lycium ferocissimum","SOLANACEAE","African Boxthorn","treated with grasslan applied. Herbicide applied from helicopter","","","Coorong (NP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","6/5/14",-36.30422,139.7137,"decimal degrees","Lycium ferocissimum","2014-05-06","introduced","EPSG:20254","verified",1,"individuals"
"SUP6583-8","SUP6583-8","SU","MT LOFTY","D","DAVIES R.J-P. Richard","","No entered",288202,6110563,-35.12553,138.67563,"Y01608","Acacia retinodes var. retinodes (NC)","LEGUMINOSAE","Wirilda","","","","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","9/5/86",-35.12553,138.67563,"decimal degrees","Acacia retinodes var. retinodes (NC)","1986-05-09","native","EPSG:20254","verified",,
"OPP332708-1785482","OPP332708-1785482","OP","WOOMERA PROHIBITED AREA","D","VONOW H.P. Helen | CUNNINGHAM D.D. Dean | RAMSAY A.K. Andrea","","5-50m",639252,6681483,-29.98966,136.44358,"Q00412","Paractaenum novae-hollandiae ssp. reversum","GRAMINEAE","Barbed-wire Grass","Annual grass to 15 cm high.","Low sand dunes with Acacia ligulata scattered Alectryon Tribulus and Chamaesyce.","20 km by road south-west of Westall Dam about 1 km south of Davies Dam.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","19/4/07",-29.98966,136.44358,"decimal degrees","Paractaenum novae-hollandiae ssp. reversum","2007-04-19","native","EPSG:20253","verified",,
"RVPO65262-280641","RVPO65262-280641","RV","","D","PLAYFAIR R.M. Roger | BENNETT F.J. Fiona","","1-10km",747905,6396218,-32.54374267,137.6398788,"S00369","Cynodon dactylon (NC)","GRAMINEAE","Couch","Collected using the DEWNR Roadside Vegetation Survey Methodology","Atriplex vesicaria Low Shrubland","Eyre HWY 3.3 km WNW of Observation Point (summit)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","26/11/02",-32.54374267,137.6398788,"decimal degrees","Cynodon dactylon (NC)","2002-11-26","introduced","EPSG:20253","verification required",,
"OPP632749-1","OPP632749-1","OP","LOFTY BLOCK EPBC THREATENED ORCHIDS","M","QUARMBY J. Joe","","5-50m",271480,6137094,-34.88286,138.49955,"Y04404","Pterostylis arenicola","ORCHIDACEAE","Sandhill Greenhood","Total = 666 Flowers = 331 Vegetative = 335.","","Grange Golf Course","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","1/8/13",-34.88286,138.49955,"decimal degrees","Pterostylis arenicola","2013-08","native","EPSG:20254","verified",666,"individuals"
"SUP12242-4","SUP12242-4","SU","MT BROWN (NCSSA)","D","BEN KAHN A. Ali | SMITH F.M. Felicity","","51-100m",219722,6406079,-32.44562,138.02005,"M00146","Austrostipa nodosa","GRAMINEAE","Tall Spear-grass","","","Near park fence line.","Mount Brown (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","23/10/94",-32.44562,138.02005,"decimal degrees","Austrostipa nodosa","1994-10-23","native","EPSG:20254","verified",,
"RVPO40701-175595","RVPO40701-175595","RV","","D","CLARK P.D. Peter | HIGGINS G.M. Graeme","","501-1000m",559455,6333280,-33.13757589,135.6374451,"C15065","Gramineae sp.","GRAMINEAE","Grass Family","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus oleosa Mallee","Eyre Highway HWY 3.6 km ENE of Cayancutta (summit)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","10/3/01",-33.13757589,135.6374451,"decimal degrees","Gramineae sp.","2001-03-10","native","EPSG:20253","verification required",,
"RVPO33838-148656","RVPO33838-148656","RV","","D","MILNE S.J. Stephen | TELFER S. Sarah","","501-1000m",613708,6282409,-33.59198738,136.2254373,"E02238","Eucalyptus gracilis","MYRTACEAE","Yorrell","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus incrassata / E. socialis +/- E. gracilis +/- E. leptophylla Mallee","Cummins-Buckleboo RAIL 0.6 km SSE of Kielpa","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","25/10/00",-33.59198738,136.2254373,"decimal degrees","Eucalyptus gracilis","2000-10-25","native","EPSG:20253","verification required",,
"RVPO46878-201461","RVPO46878-201461","RV","","D","CLARK P.D. Peter","","501-1000m",279760,6226364,-34.08034032,138.6131144,"K20009","Agave americana var. (NC)","AGAVACEAE","Century Plant","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland","Wandels (101) RD 1.1 km ESE of Sheoak Hill (summit)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","13/11/01",-34.08034032,138.6131144,"decimal degrees","Agave americana var. (NC)","2001-11-13","introduced","EPSG:20254","verification required",,
"OPP800651-36","OPP800651-36","OP","BDBSA RESERVES DATABASE","M","MURFET D.E. Denzel | TAPLIN R.L. Rosemary","","1-10km",412319,6409118,-32.45165,134.06714,"G02643","Westringia dampieri","LABIATAE","Shore Westringia","","","","Acraman Creek (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","1/9/99",-32.45165,134.06714,"decimal degrees","Westringia dampieri","1999-09","native","EPSG:20253","verified",,
"SUP8057-16","SUP8057-16","SU","FLINDERS MANAGEMENT REVIEW","D","NOT ENTERED - SEE ORIGINAL DATA  -","","",293923,6578379,-30.91001,138.84362,"G02563","Omphalolappula concava","BORAGINACEAE","Burr Stickseed","","","1km SE from Ben Lomond.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","29/8/91",-30.91001,138.84362,"decimal degrees","Omphalolappula concava","1991-08-29","native","EPSG:20254","verified",,
"SUP10624-3","SUP10624-3","SU","FLINDERS MANAGEMENT REVIEW","D","BELLETTE K.J. Kathryn | GOULD P. Paul","","",293523,6624679,-30.49244,138.84873,"E01154","Atriplex stipitata","CHENOPODIACEAE","Bitter Saltbush","","","","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","6/4/88",-30.49244,138.84873,"decimal degrees","Atriplex stipitata","1988-04-06","native","EPSG:20254","verified",,
"RVPO88460-399533","RVPO88460-399533","RV","","D","O'NEILL S. Sally | FRAZER D.S. Deb","","1-10km",334757,6208794,-34.24886076,139.2054988,"K03913","Avena barbata","GRAMINEAE","Bearded Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus porosa +/-E. dumosa +/-E. odorata +/-E. oleosa  +/-Acacia pycnantha +/-Alectryon oleifolius +/-Callitris gracilis Mallee","Frankton RD 3 km ESE of Neales Flat","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","8/5/08",-34.24886076,139.2054988,"decimal degrees","Avena barbata","2008-05-08","introduced","EPSG:20254","verification required",,
"OPP65649-1483116-AD99934275","OPP65649-1483116-AD99934275","OP","ANANGU PITJANTJATJARA LANDS","D","CANTY P.D. Peter | LANG P.J. Peter | BRANDLE R. Robert","AD99934275","51-100m",747084,7097866,-26.21756,131.47303,"S02269","Eucalyptus sparsa","MYRTACEAE","Northern Ranges Box","","Cyperus sedgeland with a few Red gums","Rock ridge summit 1288","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","24/10/98",-26.21756,131.47303,"decimal degrees","Eucalyptus sparsa","1998-10-24","native","EPSG:20252","verified",,
"OPP477076-1","OPP477076-1","OP","KANGAROO ISLAND WEEDS REGISTER","D","KANGAROO ISLAND - DEWNR K.I. DEWNR","","5-50m",732936,6030708,-35.84017,137.57904,"E04578","Asparagus declinatus","LILIACEAE","","","","","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","23/9/05",-35.84017,137.57904,"decimal degrees","Asparagus declinatus","2005-09-23","introduced","EPSG:20253","verified",,
"OPP329121-1505298","OPP329121-1505298","OP","MLR GRID WEED SURVEYS (NPWSA)","D","MITCHELL F. Fay","","101-250m",300122,6160978,-34.67368,138.81841,"K04985","Hibbertia australis (NC)","DILLENIACEAE","Stalked Guinea-flower","BRAUN_BLANQUET_DENSITY = 3","","185","Para Wirra (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","6/1/00",-34.67368,138.81841,"decimal degrees","Hibbertia australis (NC)","2000-01-06","native","EPSG:20254","verified",,
"OPP798096-35","OPP798096-35","OP","BDBSA RESERVES DATABASE","T","NCS-(SA)  Nature Conservation Socie | LEHMANN P. N/A","","1-10km",362701,6196430,-34.36439,139.5069,"Q01504","Enchylaena tomentosa var. tomentosa","CHENOPODIACEAE","Ruby Saltbush","","","","Brookfield (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","1/1/70",-34.36439,139.5069,"decimal degrees","Enchylaena tomentosa var. tomentosa","197","native","EPSG:20254","verified",,
"SUP12419-11","SUP12419-11","SU","STONY DESERTS","D","CANTY P.D. Peter | MORELLI J. Josie","","5-50m",469573,7059095,-26.58859,140.69443,"U20070","Enchylaena tomentosa var.","CHENOPODIACEAE","Ruby Saltbush","","","4 km SSW from Mt Gow.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","4/11/94",-26.58859,140.69443,"decimal degrees","Enchylaena tomentosa var.","1994-11-04","native","EPSG:20254","verified",,
"RVPO68163-298316","RVPO68163-298316","RV","","D","CLARK P.D. Peter | HIGGINS G.M. Graeme","","5-50m",280877,6121177,-35.02833995,138.5981104,"S20125","Olea europaea ssp.","OLEACEAE","Olive","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus microcarpa Woodland","Colebrook Drive DR 0.8 km SSE of Eden Hills (suburb centre)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","22/9/03",-35.02833995,138.5981104,"decimal degrees","Olea europaea ssp.","2003-09-22","introduced","EPSG:20254","verification required",,
"OPP526584-49","OPP526584-49","OP","EBS ECOLOGY - FLORA & FAUNA SURVEY SA","D","KENNY S.D. Sue | KELMAN R.J. Rob","","0-5m",485976,6554150,-31.14652,134.85287,"A01508","Pittosporum angustifolium","PITTOSPORACEAE","Native Apricot","","","","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","18/5/12",-31.14652,134.85287,"decimal degrees","Pittosporum angustifolium","2012-05-18","native","EPSG:20253","verified",,
"SUP1469-14","SUP1469-14","SU","MOUNT LOFTY RANGES (DEP 1981)","D","NOT ENTERED - SEE ORIGINAL DATA  -","","",294622,6127878,-34.97085,138.75032,"M02418","Epacris impressa","EPACRIDACEAE","Common Heath","","","","54 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","30/5/79",-34.97085,138.75032,"decimal degrees","Epacris impressa","1979-05-30","native","EPSG:20254","verified",,
"SUP20898-124898","SUP20898-124898","SU","STRZELECKI  (B. SPARROW)","D","SPARROW B. Ben | LEITCH E.J. Emrys","","5-50m",309408,6859164,-28.38,139.0549,"W03115","Tecticornia pluriflora","CHENOPODIACEAE","","","","","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","18/11/02",-28.38,139.0549,"decimal degrees","Tecticornia pluriflora","2002-11-18","native","EPSG:20254","verified",,
